anfitrión/a,tiempo_respuesta,es_superhost,ciudad,pais,latitud,longitud,tipo_propiedad,capacidad,puntaje_promedio_comunicación,puntaje_promedio_localización,servicio_tv_cable,servicio_aire_acondicionado
28779954,dentro de un día,0,Hong Kong,China,22.29014,113.94575,pieza privada en departamento,2,10,10,0,1
6205300,dentro de un día,0,Sydney,Australia,-33.88944,151.23526,apartamento completo,4,10,10,1,1
46191784,dentro de una hora,1,Sydney,Australia,-33.92419,151.23134,apartamento completo,4,10,10,0,1
20609134,dentro de una hora,1,Rome,Italy,41.89179,12.50117,apartamento completo,5,10,10,0,1
29778707,dentro de algunas horas,1,Cape Town,South Africa,-34.10237,18.36825,pieza privada en casa,1,10,10,0,0
290703681,dentro de un día,0,Rio de Janeiro,Brazil,-23.02345,-43.51049,casa completa,6,10,10,1,1
13108199,dentro de algunas horas,1,New York,United States,40.72671,-73.94859,apartamento completo,4,10,10,1,1
31773530,dentro de una hora,0,Rome,Italy,41.9263,12.40383,apartamento completo,4,10,7,0,0
312908405,dentro de algunos días o más,0,Rio de Janeiro,Brazil,-23.02231,-43.5127,apartamento completo,2,10,10,0,1
262716132,dentro de algunos días o más,0,Rome,Italy,41.92057,12.45775,apartamento completo,5,9,9,0,0
72770179,dentro de una hora,0,Rio de Janeiro,Brazil,-22.96023,-43.17649,apartamento completo,3,10,10,0,1
230665312,dentro de un día,0,New York,United States,40.74357,-73.92175,pieza privada en departamento,1,10,10,0,1
314129806,dentro de una hora,0,Rio de Janeiro,Brazil,-22.97685,-43.19206,apartamento completo,4,10,10,1,1
10432817,dentro de una hora,1,New York,United States,40.69311,-73.99761,pieza privada en departamento,1,10,10,0,1
215271656,dentro de una hora,0,Rio de Janeiro,Brazil,-22.97763,-43.19151,condominio completo,5,10,10,0,1
51289938,dentro de una hora,0,Hong Kong,China,22.30357,114.17259,apartamento completo,16,10,10,0,0
202921830,dentro de una hora,0,Paris,France,48.88538,2.35309,apartamento completo,3,9,10,0,0
33036416,dentro de una hora,0,Cape Town,South Africa,-33.96538,18.48976,suite de invitado completa,2,10,9,1,0
30264105,dentro de un día,0,Hong Kong,China,22.27759,114.1711,condominio completo,5,10,10,0,1
5108190,dentro de una hora,0,Paris,France,48.84916,2.3109,pieza privada en departamento,1,9,10,1,0
2315268,dentro de algunas horas,0,Rome,Italy,41.89024,12.46829,apartamento completo,5,10,10,0,1
80269341,dentro de una hora,0,Rio de Janeiro,Brazil,-22.98518,-43.22226,apartamento completo,6,10,10,0,1
144139510,dentro de algunas horas,0,Rome,Italy,41.9261,12.48157,apartamento completo,3,10,10,0,1
365464548,dentro de una hora,0,New York,United States,40.66263,-73.92423,pieza privada en departamento,2,10,10,0,1
